dp,null_Dn,abs-700_Dn,abs-1000_Dn,abs-1300_Dn,norm-layer_Dn,dpcorr+_Dn,dpcorr-_Dn
1.64,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.64,1.0,1.0,1.0,1.0,0.5,0.5,1.0
0.8,1.0,1.0,1.0,1.0,0.5,1.0,1.0
0.61,1.0,1.0,1.0,1.0,0.5,1.0,1.0
0.67,1.0,1.0,1.0,1.0,0.5,1.0,1.0
6.745,1.0,1.0,1.0,1.0,0.5,1.0,1.0
6.74,1.0,1.0,1.0,1.0,0.5,1.0,1.0
6.81,1.0,1.0,1.0,1.0,0.5,1.0,1.0
6.58,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.06,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.06,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.04,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.42,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.26,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.26,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.63,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.61,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.115,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.59,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.075,1.0,1.0,1.0,1.0,0.5,0.5,1.0
0.68,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.21,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.9,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.08,1.0,1.0,1.0,1.0,0.5,0.5,1.0
0.81,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.67,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.97,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.77,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.09,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.87,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.03,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.05,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.795,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.59,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.89,1.0,1.0,1.0,1.0,0.5,0.5,1.0
0.96,1.0,1.0,1.0,1.0,0.5,1.0,1.0
0.58,1.0,1.0,1.0,1.0,0.5,1.0,1.0
0.55,1.0,1.0,1.0,1.0,0.5,1.0,1.0
0.87,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.1,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.32,1.0,1.0,1.0,1.0,0.5,0.5,1.0
0.81,1.0,1.0,1.0,1.0,0.5,1.0,1.0
0.69,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.25,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.42,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.285,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.23,1.0,1.0,1.0,1.0,0.5,0.5,0.5
0.94,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.13,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.41,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.22,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.06,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.285,1.0,1.0,1.0,1.0,0.5,0.5,1.0
4.045,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.82,1.0,1.0,1.0,1.0,0.5,1.0,0.5
4.035,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.57,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.705,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.555,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.33,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.325,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.15,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.13,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.24,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.51,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.3,1.0,1.0,1.0,1.0,0.5,1.0,0.5
4.59,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.22,1.0,1.0,1.0,1.0,0.5,1.0,1.0
9.74,1.0,1.0,1.0,1.0,0.5,1.0,1.0
9.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.01,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.925,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.92,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.27,1.0,1.0,1.0,1.0,0.5,1.0,0.5
5.77,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.32,1.0,1.0,1.0,1.0,0.5,1.0,0.5
4.57,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.395,1.0,1.0,1.0,1.0,0.5,1.0,0.5
10.37,1.0,1.0,1.0,1.0,0.5,1.0,1.0
7.795,1.0,1.0,1.0,1.0,0.5,1.0,1.0
10.96,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.8,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.465,1.0,1.0,1.0,1.0,0.5,1.0,1.0
8.12,1.0,1.0,1.0,1.0,0.5,1.0,1.0
9.16,1.0,1.0,1.0,1.0,0.5,1.0,1.0
8.61,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.995,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.92,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.92,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.25,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.86,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.46,1.0,1.0,1.0,1.0,0.5,1.0,1.0
7.565,1.0,1.0,1.0,1.0,0.5,1.0,1.0
7.64,1.0,1.0,1.0,1.0,0.5,1.0,1.0
7.64,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.12,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.44,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.32,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.425,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.25,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.48,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.48,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.505,1.0,1.0,1.0,1.0,0.5,0.5,0.5
7.65,1.0,1.0,1.0,1.0,0.5,1.0,1.0
7.86,1.0,1.0,1.0,1.0,0.5,1.0,1.0
7.625,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.785,1.0,1.0,1.0,1.0,0.5,1.0,0.5
10.23,1.0,1.0,1.0,1.0,0.5,1.0,1.0
10.02,1.0,1.0,1.0,1.0,0.5,1.0,1.0
10.01,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.48,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.58,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.445,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.18,1.0,1.0,1.0,1.0,0.5,1.0,0.5
4.485,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.76,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.555,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.23,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.15,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.99,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.21,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.14,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.59,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.35,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.21,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.05,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.96,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.595,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.7,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.69,1.0,1.0,1.0,1.0,0.5,0.5,1.0
5.04,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.7,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.74,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.73,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.02,1.0,1.0,1.0,1.0,0.5,1.0,0.5
7.005,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.65,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.09,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.83,1.0,1.0,1.0,1.0,0.5,1.0,0.5
6.3,1.0,1.0,1.0,1.0,0.5,1.0,1.0
7.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.42,1.0,1.0,1.0,1.0,0.5,1.0,1.0
6.49,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.78,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.72,1.0,1.0,1.0,1.0,0.5,0.5,1.0
7.19,1.0,1.0,1.0,1.0,0.5,1.0,1.0
8.695,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.13,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.05,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.62,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.66,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.49,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.86,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.67,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.41,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.56,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.12,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.48,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.54,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.65,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.35,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.58,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.53,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.1,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.88,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.92,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.74,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.13,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.14,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.13,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.18,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.125,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.98,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.01,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.565,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.01,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.8,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.79,1.0,1.0,1.0,1.0,0.5,0.5,1.0
4.295,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.57,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.59,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.86,1.0,1.0,1.0,1.0,0.5,1.0,0.5
4.32,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.59,1.0,1.0,1.0,1.0,0.5,1.0,1.0
9.26,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.54,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.04,1.0,1.0,1.0,1.0,0.5,1.0,0.5
6.12,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.56,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.9,1.0,1.0,1.0,1.0,0.5,0.5,1.0
4.595,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.82,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.025,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.795,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.72,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.01,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.33,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.03,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.24,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.93,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.295,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.185,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.05,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.565,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.67,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.98,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.96,1.0,1.0,1.0,1.0,0.5,1.0,0.5
0.88,1.0,1.0,1.0,1.0,0.5,1.0,1.0
5.19,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.745,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.6,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.77,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.25,1.0,1.0,1.0,1.0,0.5,0.5,0.5
6.29,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.27,1.0,1.0,1.0,1.0,0.5,1.0,1.0
6.775,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.69,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.1,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.32,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.035,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.31,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.36,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.57,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.27,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.12,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.68,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.51,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.7,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.68,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.73,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.19,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.18,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.51,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.43,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.93,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.69,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.91,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.1,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.95,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.18,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.395,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.27,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.59,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.05,1.0,1.0,1.0,1.0,0.5,1.0,0.5
4.24,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.86,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.52,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.46,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.22,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.45,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.96,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.495,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.16,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.74,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.54,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.84,1.0,1.0,1.0,1.0,0.5,1.0,1.0
6.58,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.52,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.6,1.0,1.0,1.0,1.0,0.5,0.5,1.0
5.04,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.32,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.83,1.0,1.0,1.0,1.0,0.5,0.5,1.0
5.03,1.0,1.0,1.0,1.0,0.5,1.0,1.0
4.27,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.79,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.9,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.71,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.05,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.46,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.59,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.62,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.79,1.0,1.0,1.0,1.0,0.5,1.0,0.5
6.745,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.82,1.0,1.0,1.0,1.0,0.5,0.5,1.0
8.045,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.4,1.0,1.0,1.0,1.0,0.5,1.0,0.5
8.68,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.065,1.0,1.0,1.0,1.0,0.5,0.5,0.5
0.91,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.63,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.895,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.81,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.82,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.82,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.6,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.83,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.83,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.56,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.31,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.53,1.0,1.0,1.0,1.0,0.5,0.5,1.0
0.94,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.36,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.35,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.33,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.125,1.0,1.0,1.0,1.0,0.5,1.0,1.0
1.64,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.56,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.49,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.13,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.035,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.22,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.26,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.36,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1.62,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.53,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.52,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.6,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.125,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.995,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.16,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.82,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.19,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.95,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.575,1.0,1.0,1.0,1.0,0.5,0.5,1.0
1.12,1.0,1.0,1.0,1.0,0.5,0.5,1.0
2.475,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.11,1.0,1.0,1.0,1.0,0.5,0.5,0.5
3.6,1.0,1.0,1.0,1.0,0.5,1.0,1.0
3.42,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.485,1.0,1.0,1.0,1.0,0.5,1.0,0.5
0.85,1.0,1.0,1.0,1.0,0.5,1.0,1.0
2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5
1.68,1.0,1.0,1.0,1.0,0.5,0.5,1.0
3.41,1.0,1.0,1.0,1.0,0.5,1.0,0.5
3.41,1.0,1.0,1.0,1.0,0.5,1.0,0.5
2.365,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.58,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.64,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.295,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.56,1.0,1.0,1.0,1.0,0.5,0.5,0.5
6.07,1.0,1.0,1.0,1.0,0.5,1.0,1.0
